<<<<<<< HEAD
﻿Log file open, 04/25/17 19:02:14
[2017.04.26-02.47.39:321][ 57]LogModuleManager: Shutting down and abandoning module ProceduralMeshComponent (140)
[2017.04.26-02.47.39:321][ 57]LogModuleManager: Shutting down and abandoning module OculusLibrary (139)
[2017.04.26-02.47.39:321][ 57]LogModuleManager: Shutting down and abandoning module OculusInput (138)
[2017.04.26-02.47.39:321][ 57]LogModuleManager: Shutting down and abandoning module MobilePatchingUtils (137)
[2017.04.26-02.47.39:321][ 57]LogModuleManager: Shutting down and abandoning module CustomMeshComponent (136)
[2017.04.26-02.47.39:321][ 57]LogModuleManager: Shutting down and abandoning module CableComponent (135)
[2017.04.26-02.47.39:321][ 57]LogModuleManager: Shutting down and abandoning module ArchVisCharacter (134)
[2017.04.26-02.47.39:321][ 57]LogModuleManager: Shutting down and abandoning module MediaPlayerEditor (132)
[2017.04.26-02.47.39:346][ 57]LogModuleManager: Shutting down and abandoning module HTML5Networking (131)
[2017.04.26-02.47.39:346][ 57]LogModuleManager: Shutting down and abandoning module GeometryCacheEd (130)
[2017.04.26-02.47.39:346][ 57]LogModuleManager: Shutting down and abandoning module GeometryCache (129)
[2017.04.26-02.47.39:346][ 57]LogModuleManager: Shutting down and abandoning module AlembicLibrary (128)
[2017.04.26-02.47.39:349][ 57]LogModuleManager: Shutting down and abandoning module AlembicImporter (127)
[2017.04.26-02.47.39:360][ 57]LogModuleManager: Shutting down and abandoning module SuperSearch (126)
[2017.04.26-02.47.39:360][ 57]LogModuleManager: Shutting down and abandoning module SuperSearchEditor (125)
[2017.04.26-02.47.39:360][ 57]LogModuleManager: Shutting down and abandoning module SpeedTreeImporter (124)
[2017.04.26-02.47.39:360][ 57]LogModuleManager: Shutting down and abandoning module PluginBrowser (123)
[2017.04.26-02.47.39:376][ 57]LogModuleManager: Shutting down and abandoning module MobileLauncherProfileWizard (122)
[2017.04.26-02.47.39:385][ 57]LogModuleManager: Shutting down and abandoning module EpicSurvey (121)
[2017.04.26-02.47.39:394][ 57]LogModuleManager: Shutting down and abandoning module DesktopPlatform (120)
[2017.04.26-02.47.39:394][ 57]LogModuleManager: Shutting down and abandoning module VisualStudioSourceCodeAccess (119)
[2017.04.26-02.47.39:394][ 57]LogModuleManager: Shutting down and abandoning module UObjectPlugin (118)
[2017.04.26-02.47.39:394][ 57]LogModuleManager: Shutting down and abandoning module SubversionSourceControl (117)
[2017.04.26-02.47.39:394][ 57]LogModuleManager: Shutting down and abandoning module PerforceSourceControl (116)
[2017.04.26-02.47.39:394][ 57]LogModuleManager: Shutting down and abandoning module SourceControl (115)
[2017.04.26-02.47.39:395][ 57]LogModuleManager: Shutting down and abandoning module GitSourceControl (114)
[2017.04.26-02.47.39:401][ 57]LogModuleManager: Shutting down and abandoning module LightPropagationVolumeEditor (113)
[2017.04.26-02.47.39:401][ 57]LogModuleManager: Shutting down and abandoning module PaperTiledImporter (112)
[2017.04.26-02.47.39:401][ 57]LogModuleManager: Shutting down and abandoning module PaperSpriteSheetImporter (111)
[2017.04.26-02.47.39:401][ 57]LogModuleManager: Shutting down and abandoning module MeshPaint (110)
[2017.04.26-02.47.39:401][ 57]LogModuleManager: Shutting down and abandoning module PixelInspectorModule (109)
[2017.04.26-02.47.39:404][ 57]LogModuleManager: Shutting down and abandoning module HotReload (108)
[2017.04.26-02.47.39:405][ 57]LogModuleManager: Shutting down and abandoning module MainFrame (107)
[2017.04.26-02.47.39:405][ 57]LogModuleManager: Shutting down and abandoning module LevelEditor (106)
[2017.04.26-02.47.39:416][ 57]LogModuleManager: Shutting down and abandoning module ContentBrowser (105)
[2017.04.26-02.47.39:418][ 57]LogModuleManager: Shutting down and abandoning module Paper2DEditor (104)
[2017.04.26-02.47.39:430][ 57]LogModuleManager: Shutting down and abandoning module UdpMessaging (103)
[2017.04.26-02.47.39:531][ 57]LogModuleManager: Shutting down and abandoning module TcpMessaging (102)
[2017.04.26-02.47.39:631][ 57]LogModuleManager: Shutting down and abandoning module LightPropagationVolumeRuntime (101)
[2017.04.26-02.47.39:631][ 57]LogModuleManager: Shutting down and abandoning module Paper2D (100)
[2017.04.26-02.47.39:631][ 57]LogModuleManager: Shutting down and abandoning module WindowsMoviePlayer (99)
[2017.04.26-02.47.39:631][ 57]LogModuleManager: Shutting down and abandoning module WmfMedia (98)
[2017.04.26-02.47.39:632][ 57]LogModuleManager: Shutting down and abandoning module MediaAssets (97)
[2017.04.26-02.47.39:632][ 57]LogModuleManager: Shutting down and abandoning module GameLiveStreaming (96)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module GameplayTagsEditor (95)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module VREditor (94)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module GameplayTasksEditor (93)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module BehaviorTreeEditor (92)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module FunctionalTesting (91)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module CollisionAnalyzer (90)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module Sequencer (89)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module WorkspaceMenuStructure (88)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module MessageLog (87)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module AssetTools (86)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module UMGEditor (85)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module UMG (84)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module SlateReflector (83)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module Slate (82)
[2017.04.26-02.47.39:633][ 57]LogModuleManager: Shutting down and abandoning module EditorStyle (81)
[2017.04.26-02.47.39:641][ 57]LogModuleManager: Shutting down and abandoning module SourceCodeAccess (80)
[2017.04.26-02.47.39:641][ 57]LogModuleManager: Shutting down and abandoning module HeadMountedDisplay (79)
[2017.04.26-02.47.39:641][ 57]LogModuleManager: Shutting down and abandoning module XAudio2 (78)
[2017.04.26-02.47.39:641][ 57]LogModuleManager: Shutting down and abandoning module Networking (76)
[2017.04.26-02.47.39:641][ 57]LogModuleManager: Shutting down and abandoning module Core (75)
[2017.04.26-02.47.39:641][ 57]LogModuleManager: Shutting down and abandoning module DirectoryWatcher (74)
[2017.04.26-02.47.39:641][ 57]LogDirectoryWatcher: A directory notification for '../../../Engine/Content/' was aborted.
[2017.04.26-02.47.39:641][ 57]LogDirectoryWatcher: A directory notification for '../../../../../Zombie_TowerDefense/Content/' was aborted.
[2017.04.26-02.47.39:641][ 57]LogDirectoryWatcher: A directory notification for '../../../Engine/Plugins/2D/Paper2D/Content/' was aborted.
[2017.04.26-02.47.39:642][ 57]LogModuleManager: Shutting down and abandoning module AssetRegistry (73)
[2017.04.26-02.47.39:915][ 57]LogModuleManager: Shutting down and abandoning module KismetCompiler (72)
[2017.04.26-02.47.39:915][ 57]LogModuleManager: Shutting down and abandoning module PhysXFormats (71)
[2017.04.26-02.47.39:915][ 57]LogModuleManager: Shutting down and abandoning module SimplygonSwarm (70)
[2017.04.26-02.47.39:915][ 57]LogModuleManager: Shutting down and abandoning module SimplygonMeshReduction (69)
[2017.04.26-02.47.39:915][ 57]LogModuleManager: Shutting down and abandoning module QuadricMeshReduction (68)
[2017.04.26-02.47.39:915][ 57]LogModuleManager: Shutting down and abandoning module PropertyEditor (67)
[2017.04.26-02.47.39:921][ 57]LogModuleManager: Shutting down and abandoning module MeshUtilities (66)
[2017.04.26-02.47.39:921][ 57]LogModuleManager: Shutting down and abandoning module DerivedDataCache (65)
[2017.04.26-02.47.39:983][ 57]LogDerivedDataCache: Shutdown
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module VulkanShaderFormat (64)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module ShaderFormatOpenGL (63)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module ShaderFormatD3D (62)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module MetalShaderFormat (61)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module TextureFormatUncompressed (60)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module TextureFormatPVR (59)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module TextureFormatDXT (58)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module TextureFormatIntelISPCTexComp (57)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module ImageWrapper (56)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module TextureFormatASTC (55)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module TextureFormatAndroid (54)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module AudioFormatOpus (53)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module AudioFormatOgg (52)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module AudioFormatADPCM (51)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module LinuxTargetPlatform (50)
[2017.04.26-02.47.39:983][ 57]LogModuleManager: Shutting down and abandoning module LinuxServerTargetPlatform (49)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module LinuxNoEditorTargetPlatform (48)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module LinuxClientTargetPlatform (47)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module TVOSTargetPlatform (46)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module Messaging (45)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module IOSTargetPlatform (44)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module HTML5TargetPlatform (43)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module Android_PVRTCTargetPlatform (42)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module Android_MultiTargetPlatform (41)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module Android_ETC2TargetPlatform (40)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module Android_ETC1TargetPlatform (39)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module Android_DXTTargetPlatform (38)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module Android_ATCTargetPlatform (37)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module Android_ASTCTargetPlatform (36)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module AndroidTargetPlatform (35)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module WindowsTargetPlatform (34)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module WindowsServerTargetPlatform (33)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module WindowsNoEditorTargetPlatform (32)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module WindowsClientTargetPlatform (31)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module MacTargetPlatform (30)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module MacServerTargetPlatform (29)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module MacNoEditorTargetPlatform (28)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module MacClientTargetPlatform (27)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module AllDesktopTargetPlatform (26)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module TargetPlatform (25)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module InputCore (24)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module Settings (23)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module OculusRift (22)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module ExampleDeviceProfileSelector (21)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module OnlineBlueprintSupport (20)
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module OnlineSubsystem (18)
[2017.04.26-02.47.39:984][ 57]LogOnline:Display: Unloading online subsystem: NULL
[2017.04.26-02.47.39:984][ 57]LogModuleManager: Shutting down and abandoning module SSL (17)
[2017.04.26-02.47.39:985][ 57]LogModuleManager: Shutting down and abandoning module HTTP (16)
[2017.04.26-02.47.39:985][ 57]LogModuleManager: Shutting down and abandoning module XMPP (15)
[2017.04.26-02.47.39:985][ 57]LogModuleManager: Shutting down and abandoning module TextureCompressor (14)
[2017.04.26-02.47.39:985][ 57]LogModuleManager: Shutting down and abandoning module ShaderCore (13)
[2017.04.26-02.47.39:985][ 57]LogModuleManager: Shutting down and abandoning module Landscape (12)
[2017.04.26-02.47.39:985][ 57]LogModuleManager: Shutting down and abandoning module SlateRHIRenderer (11)
[2017.04.26-02.47.39:990][ 57]LogModuleManager: Shutting down and abandoning module OpenGLDrv (10)
[2017.04.26-02.47.39:990][ 57]LogModuleManager: Shutting down and abandoning module D3D11RHI (9)
[2017.04.26-02.47.39:990][ 57]LogModuleManager: Shutting down and abandoning module AnimGraphRuntime (8)
[2017.04.26-02.47.39:990][ 57]LogModuleManager: Shutting down and abandoning module Renderer (7)
[2017.04.26-02.47.39:990][ 57]LogModuleManager: Shutting down and abandoning module Engine (6)
[2017.04.26-02.47.39:990][ 57]LogModuleManager: Shutting down and abandoning module CoreUObject (5)
[2017.04.26-02.47.39:990][ 57]LogModuleManager: Shutting down and abandoning module NetworkFile (4)
[2017.04.26-02.47.39:990][ 57]LogModuleManager: Shutting down and abandoning module StreamingFile (3)
[2017.04.26-02.47.39:990][ 57]LogModuleManager: Shutting down and abandoning module SandboxFile (2)
[2017.04.26-02.47.39:990][ 57]LogModuleManager: Shutting down and abandoning module PakFile (1)
[2017.04.26-02.47.39:992][ 57]LogExit: Exiting.
[2017.04.26-02.47.40:006][ 57]Log file closed, 04/25/17 21:47:40
=======
LogInit: Command line:  
LogInit: Base directory: C:/Program Files (x86)/Epic Games/4.14/Engine/Binaries/Win64/
LogInit: Installed Engine Build: 1
LogInit: Presizing for max 8388607 objects, including 0 objects not considered by GC, pre-allocating 0 bytes for permanent pool.
LogInit: Object subsystem initialized
[2017.04.26-00.56.02:188][  0]LogInit: Selected Device Profile: [Windows]
[2017.04.26-00.56.02:188][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2017.04.26-00.56.02:198][  0]LogInit: Computer: DESKTOP-C7CL5QU
[2017.04.26-00.56.02:198][  0]LogInit: User: Bryan
[2017.04.26-00.56.02:198][  0]LogInit: CPU Page size=65536, Cores=4
[2017.04.26-00.56.02:198][  0]LogInit: High frequency timer resolution =3.421872 MHz
[2017.04.26-00.56.02:198][  0]LogMemory: Memory total: Physical=7.9GB (8GB approx)
[2017.04.26-00.56.02:198][  0]LogMemory: Platform Memory Stats for Windows
[2017.04.26-00.56.02:198][  0]LogMemory: Process Physical Memory: 264.55 MB used, 264.55 MB peak
[2017.04.26-00.56.02:198][  0]LogMemory: Process Virtual Memory: 262.64 MB used, 262.64 MB peak
[2017.04.26-00.56.02:198][  0]LogMemory: Physical Memory: 5288.31 MB used,  2829.76 MB free, 8118.07 MB total
[2017.04.26-00.56.02:198][  0]LogMemory: Virtual Memory: 675.76 MB used,  2829.76 MB free, 134217728.00 MB total
[2017.04.26-00.56.02:219][  0]LogTextLocalizationManager: No specific translations for ('en-US') exist, so ('en') translations will be used.
[2017.04.26-00.56.03:119][  0]LogD3D11RHI: D3D11 adapters:
[2017.04.26-00.56.03:139][  0]LogD3D11RHI:    0. 'AMD Radeon (TM) R9 390 Series' (Feature Level 11_0)
[2017.04.26-00.56.03:139][  0]LogD3D11RHI:       8169/0/4059 MB DedicatedVideo/DedicatedSystem/SharedSystem, Outputs:2, VendorId:0x1002
[2017.04.26-00.56.03:141][  0]LogD3D11RHI:    1. 'Microsoft Basic Render Driver' (Feature Level 11_0)
[2017.04.26-00.56.03:141][  0]LogD3D11RHI:       0/0/4059 MB DedicatedVideo/DedicatedSystem/SharedSystem, Outputs:0, VendorId:0x1414
[2017.04.26-00.56.03:141][  0]LogD3D11RHI: Chosen D3D11 Adapter: 0
[2017.04.26-00.56.03:145][  0]LogD3D11RHI: Creating new Direct3DDevice
[2017.04.26-00.56.03:145][  0]LogD3D11RHI:     GPU DeviceId: 0x67b1 (for the marketing name, search the web for "GPU Device Id")
[2017.04.26-00.56.03:145][  0]LogWindows: EnumDisplayDevices:
[2017.04.26-00.56.03:145][  0]LogWindows:    0. 'AMD Radeon (TM) R9 390 Series' (P:1 D:1)
[2017.04.26-00.56.03:146][  0]LogWindows:    1. 'AMD Radeon (TM) R9 390 Series' (P:0 D:1)
[2017.04.26-00.56.03:146][  0]LogWindows:    2. 'AMD Radeon (TM) R9 390 Series' (P:0 D:0)
[2017.04.26-00.56.03:146][  0]LogWindows:    3. 'AMD Radeon (TM) R9 390 Series' (P:0 D:0)
[2017.04.26-00.56.03:146][  0]LogWindows:    4. 'AMD Radeon (TM) R9 390 Series' (P:0 D:0)
[2017.04.26-00.56.03:146][  0]LogWindows:    5. 'AMD Radeon (TM) R9 390 Series' (P:0 D:0)
[2017.04.26-00.56.03:147][  0]LogWindows: DebugString: FoundDriverCount:6 
[2017.04.26-00.56.03:147][  0]LogD3D11RHI:     Adapter Name: AMD Radeon (TM) R9 390 Series
[2017.04.26-00.56.03:147][  0]LogD3D11RHI:   Driver Version: Crimson 16.9.2 (internal:21.19.137.1, unified:21.19.137.1)
[2017.04.26-00.56.03:147][  0]LogD3D11RHI:      Driver Date: 9-16-2016
[2017.04.26-00.56.03:147][  0]LogRHI: Texture pool is 1361 MB (70% of 1945 MB)
[2017.04.26-00.56.03:154][  0]LogD3D11RHI: Async texture creation enabled
[2017.04.26-00.56.03:166][  0]LogD3D11RHI: GPU Timing Frequency: 27.000000 (Debug: 2 1)
[2017.04.26-00.56.03:170][  0]LogShaderCompilers: Guid format shader working directory is -22 characters bigger than the processId version (D:/Users/Bryan/Desktop/ZTD/Zombie_Tower_Defense/Zombie_TowerDefense/Intermediate/Shaders/WorkingDirectory/13856/).
[2017.04.26-00.56.03:170][  0]LogShaderCompilers: Cleaned the shader compiler working directory 'C:/Users/Bryan/AppData/Local/Temp/UnrealShaderWorkingDir/2B6989D14FC9BE3F9FF2E9A9E5CFC1DA/'.
[2017.04.26-00.56.03:170][  0]LogShaderCompilers:Display: Using Local Shader Compiler.
[2017.04.26-00.56.04:190][  0]LogTemp:Display: Loaded TP AllDesktopTargetPlatform
[2017.04.26-00.56.04:242][  0]LogTemp:Display: Loaded TP MacClientTargetPlatform
[2017.04.26-00.56.04:294][  0]LogTemp:Display: Loaded TP MacNoEditorTargetPlatform
[2017.04.26-00.56.04:342][  0]LogTemp:Display: Loaded TP MacServerTargetPlatform
[2017.04.26-00.56.04:393][  0]LogTemp:Display: Loaded TP MacTargetPlatform
[2017.04.26-00.56.04:442][  0]LogTemp:Display: Loaded TP WindowsClientTargetPlatform
[2017.04.26-00.56.04:508][  0]LogTemp:Display: Loaded TP WindowsNoEditorTargetPlatform
[2017.04.26-00.56.04:689][  0]LogTemp:Display: Loaded TP WindowsServerTargetPlatform
[2017.04.26-00.56.04:833][  0]LogTemp:Display: Loaded TP WindowsTargetPlatform
[2017.04.26-00.56.04:921][  0]LogTemp:Display: Loaded TP AndroidTargetPlatform
[2017.04.26-00.56.04:986][  0]LogTemp:Display: Loaded TP Android_ASTCTargetPlatform
[2017.04.26-00.56.05:035][  0]LogTemp:Display: Loaded TP Android_ATCTargetPlatform
[2017.04.26-00.56.05:087][  0]LogTemp:Display: Loaded TP Android_DXTTargetPlatform
[2017.04.26-00.56.05:138][  0]LogTemp:Display: Loaded TP Android_ETC1TargetPlatform
[2017.04.26-00.56.05:191][  0]LogTemp:Display: Loaded TP Android_ETC2TargetPlatform
[2017.04.26-00.56.05:292][  0]LogTemp:Display: Loaded TP Android_MultiTargetPlatform
[2017.04.26-00.56.05:292][  0]LogTemp:Display: Loaded TP Android_PVRTCTargetPlatform
[2017.04.26-00.56.05:328][  0]LogTemp:Display: Loaded TP HTML5TargetPlatform
[2017.04.26-00.56.05:408][  0]LogTemp:Display: Loaded TP IOSTargetPlatform
[2017.04.26-00.56.05:439][  0]LogTemp:Display: Loaded TP TVOSTargetPlatform
[2017.04.26-00.56.05:488][  0]LogTemp:Display: Loaded TP LinuxClientTargetPlatform
[2017.04.26-00.56.05:539][  0]LogTemp:Display: Loaded TP LinuxNoEditorTargetPlatform
[2017.04.26-00.56.05:589][  0]LogTemp:Display: Loaded TP LinuxServerTargetPlatform
[2017.04.26-00.56.05:637][  0]LogTemp:Display: Loaded TP LinuxTargetPlatform
[2017.04.26-00.56.05:637][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2017.04.26-00.56.06:014][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2017.04.26-00.56.06:065][  0]LogDerivedDataCache: Loaded boot cache 0.05s 52MB C:/Users/Bryan/AppData/Local/UnrealEngine/4.14/DerivedDataCache/Boot.ddc.
[2017.04.26-00.56.06:066][  0]LogDerivedDataCache:Display: Loaded Boot cache: C:/Users/Bryan/AppData/Local/UnrealEngine/4.14/DerivedDataCache/Boot.ddc
[2017.04.26-00.56.06:066][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  Pak pak cache file D:/Users/Bryan/Desktop/ZTD/Zombie_Tower_Defense/Zombie_TowerDefense/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2017.04.26-00.56.06:066][  0]LogDerivedDataCache: Unable to find inner node Pak for hierarchical cache Hierarchy.
[2017.04.26-00.56.06:066][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  CompressedPak pak cache file D:/Users/Bryan/Desktop/ZTD/Zombie_Tower_Defense/Zombie_TowerDefense/DerivedDataCache/Compressed.ddp not found, will not use a pak cache.
[2017.04.26-00.56.06:066][  0]LogDerivedDataCache: Unable to find inner node CompressedPak for hierarchical cache Hierarchy.
[2017.04.26-00.56.06:081][  0]LogDerivedDataCache:Display: Pak cache opened for reading ../../../Engine/DerivedDataCache/Compressed.ddp.
[2017.04.26-00.56.06:093][  0]LogDerivedDataCache: Using Local data cache path C:/Users/Bryan/AppData/Local/UnrealEngine/Common/DerivedDataCache: Writable
[2017.04.26-00.56.06:318][  0]LogInit: Selected Device Profile: [Windows]
[2017.04.26-00.56.06:320][  0]LogContentStreaming: Texture pool size is 0.00 MB
[2017.04.26-00.56.06:503][  0]LogMeshUtilities: Using QuadricMeshReduction for automatic static mesh reduction
[2017.04.26-00.56.06:541][  0]LogSimplygon: Simplygon DLL not present - disabling.
[2017.04.26-00.56.06:582][  0]LogMeshUtilities: Using SimplygonSwarm for distributed automatic mesh merging
[2017.04.26-00.56.06:582][  0]LogMeshUtilities: No automatic skeletal mesh reduction module available
[2017.04.26-00.56.06:582][  0]LogMeshUtilities: No automatic mesh merging module available
[2017.04.26-00.56.07:051][  0]LogNetVersion: GetLocalNetworkVersion: CL: 3195953, ProjectName: zombie_tower_defense, ProjectVersion: , EngineNetworkVersion: 2, GameNetworkVersion: 0, NetworkChecksum: 2528811943
[2017.04.26-00.56.07:108][  0]LogAssetRegistry: FAssetRegistry took 0.0216 seconds to start up
[2017.04.26-00.56.07:169][  0]LogPackageLocalizationCache: Processed 3 localized package path(s) for 2 prioritized culture(s) in 0.036348 seconds
[2017.04.26-00.56.07:174][  0]LogUObjectArray: 31946 objects as part of root set at end of initial load.
[2017.04.26-00.56.07:174][  0]LogUObjectAllocator: 6935848 out of 0 bytes used by permanent object pool.
[2017.04.26-00.56.07:174][  0]LogUObjectArray: CloseDisregardForGC: 0/0 objects in disregard for GC pool
[2017.04.26-00.56.07:289][  0]LogInit: WinSock: version 1.1 (2.2), MaxSocks=32767, MaxUdp=65467
[2017.04.26-00.56.08:398][  0]LogSlate: Using Freetype 2.6.0
[2017.04.26-00.56.08:399][  0]LogSlate: SlateFontCache - WITH_FREETYPE: 1, WITH_HARFBUZZ: 1
[2017.04.26-00.56.08:399][  0]LogSlate: SlateFontCache - WITH_FREETYPE: 1, WITH_HARFBUZZ: 1
[2017.04.26-00.56.09:071][  0]LogTcpMessaging: Initializing TcpMessaging bridge
[2017.04.26-00.56.09:106][  0]LogUdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2017.04.26-00.56.09:386][  0]LogMaterial: Uniform references updated for custom material expression Custom.
[2017.04.26-00.56.09:818][  0]SourceControl: Info Source control is disabled
[2017.04.26-00.56.09:819][  0]SourceControl: Info Source control is disabled
[2017.04.26-00.56.09:860][  0]SourceControl: Info Source control is disabled
[2017.04.26-00.56.09:904][  0]SourceControl: Info Source control is disabled
[2017.04.26-00.56.10:993][  0]LogEngine: Initializing Engine...
[2017.04.26-00.56.10:993][  0]LogHMD: Failed to initialize OpenVR with code 110
[2017.04.26-00.56.11:239][  0]LogAIModule: Creating AISystem for world Untitled
[2017.04.26-00.56.11:253][  0]LogInit: XAudio2 using 'Speakers (Realtek High Definition Audio)' : 2 channels at 48 kHz using 32 bits per sample (channel mask 0x3)
[2017.04.26-00.56.11:275][  0]LogInit: FAudioDevice initialized.
[2017.04.26-00.56.11:298][  0]LogDerivedDataCache: Saved boot cache 0.02s 50MB C:/Users/Bryan/AppData/Local/UnrealEngine/4.14/DerivedDataCache/Boot.ddc.
[2017.04.26-00.56.11:305][  0]LogInit: Texture streaming: Enabled
[2017.04.26-00.56.11:458][  0]LogInit: Transaction tracking system initialized
[2017.04.26-00.56.11:761][  0]BlueprintLog: New page: Editor Load
[2017.04.26-00.56.12:503][  0]LocalizationService: Info Localization service is disabled
[2017.04.26-00.56.13:065][  0]LogConsoleResponse:Display: 
[2017.04.26-00.56.13:174][  0]LogCook:Display: Max memory allowance for cook 16384mb min free memory 0mb
[2017.04.26-00.56.13:174][  0]LogCook:Display: Mobile HDR setting 1
[2017.04.26-00.56.13:399][  0]LogFileCache: Scanning file cache for directory 'D:/Users/Bryan/Desktop/ZTD/Zombie_Tower_Defense/Zombie_TowerDefense/Content/' took 0.01s
[2017.04.26-00.56.13:999][  0]SourceControl: Info Source control is disabled
[2017.04.26-00.56.13:999][  0]Cmd: MAP LOAD FILE="D:/Users/Bryan/Desktop/ZTD/Zombie_Tower_Defense/Zombie_TowerDefense/Content/ZTD_Blueprint/Maps/Menu_Main.umap" TEMPLATE=0 SHOWPROGRESS=1 FEATURELEVEL=3
[2017.04.26-00.56.13:999][  0]LightingResults: New page: Lighting Build
[2017.04.26-00.56.14:031][  0]MapCheck: New page: Map Check
[2017.04.26-00.56.14:031][  0]LightingResults: New page: Lighting Build
[2017.04.26-00.56.14:885][  0]LogAIModule: Creating AISystem for world Menu_Main
[2017.04.26-00.56.14:886][  0]LogEditorServer: Finished looking for orphan Actors (0.000 secs)
